id;building;year;retrofit;area;heater;PV;STC;EV;BAT;f_TES;f_BAT;f_EV;f_PV;f_STC;gamma_PV
0;SFH;1984;0;150;BOI;0;0;0;0;30;1;S;0.4;0.04;0
1;SFH;1984;0;133;BOI;0;0;0;0;30;1;M;0.4;0.04;0
2;SFH;1984;0;142;BOI;0;0;0;0;30;1;S;0.4;0.04;0
3;SFH;1984;0;131;BOI;0;0;0;0;30;1;M;0.4;0.04;0
4;SFH;1984;0;166;BOI;0;0;0;0;30;1;S;0.4;0.04;0
5;SFH;1984;0;152;BOI;1;0;0;0;30;1;M;0.4;0.04;0
6;SFH;1984;0;169;BOI;1;0;0;0;30;1;S;0.4;0.04;0
7;SFH;1984;0;144;BOI;1;0;0;0;30;1;S;0.4;0.04;0
8;SFH;1984;0;152;BOI;1;0;0;0;30;1;M;0.4;0.04;0
9;SFH;1984;0;169;BOI;1;0;0;0;30;1;S;0.4;0.04;0
10;SFH;1984;0;149;BOI;1;0;0;1;30;1;M;0.4;0.04;0
11;SFH;1984;0;163;BOI;1;0;0;1;30;1;S;0.4;0.04;0
12;SFH;1984;0;163;BOI;1;0;0;1;30;1;M;0.4;0.04;0
13;SFH;1984;0;149;BOI;1;0;0;1;30;1;S;0.4;0.04;0
14;SFH;1984;0;147;BOI;1;0;0;1;30;1;S;0.4;0.04;0
15;SFH;1984;0;168;HP;0;0;0;0;30;1;M;0.4;0.04;0
16;SFH;1984;0;162;HP;0;0;0;0;30;1;S;0.4;0.04;0
17;SFH;1984;0;161;HP;0;0;0;0;30;1;M;0.4;0.04;0
18;SFH;1984;0;136;HP;0;0;0;0;30;1;S;0.4;0.04;0
19;SFH;1984;0;151;HP;0;0;0;0;30;1;M;0.4;0.04;0
20;SFH;1984;0;157;HP;1;0;0;0;30;1;S;0.4;0.04;0
21;SFH;1984;0;142;HP;1;0;0;0;30;1;S;0.4;0.04;0
22;SFH;1984;0;163;HP;1;0;0;0;30;1;M;0.4;0.04;0
23;SFH;1984;0;130;HP;1;0;0;0;30;1;S;0.4;0.04;0
24;SFH;1984;0;163;HP;1;0;0;0;30;1;M;0.4;0.04;0
25;SFH;1984;0;140;HP;1;0;0;1;30;1;S;0.4;0.04;0
26;SFH;1984;0;169;HP;1;0;0;1;30;1;M;0.4;0.04;0
27;SFH;1984;0;150;HP;1;0;0;1;30;1;S;0.4;0.04;0
28;SFH;1984;0;131;HP;1;0;0;1;30;1;S;0.4;0.04;0
29;SFH;1984;0;166;HP;1;0;0;1;30;1;M;0.4;0.04;0
