id;building;year;retrofit;area;heater;PV;STC;EV;BAT;f_TES;f_BAT;f_EV;f_PV;f_STC;gamma_PV
0;SFH;1984;0;150;BOI;0;0;0;0;30;1;S;0.4;0.04;0
1;SFH;1984;0;133;BOI;0;0;0;0;30;1;M;0.4;0.04;0
2;SFH;1984;0;142;BOI;0;0;0;0;30;1;S;0.4;0.04;0
3;SFH;1984;0;131;BOI;0;0;0;0;30;1;M;0.4;0.04;0
4;SFH;1984;0;166;BOI;0;0;0;0;30;1;S;0.4;0.04;0
5;SFH;1984;0;152;BOI;1;0;0;0;30;1;M;0.4;0.04;0
6;SFH;1984;0;169;BOI;1;0;0;0;30;1;S;0.4;0.04;0
7;SFH;1984;0;144;BOI;1;0;0;0;30;1;S;0.4;0.04;0
8;SFH;1984;0;152;BOI;1;0;0;0;30;1;M;0.4;0.04;0
9;SFH;1984;0;169;BOI;1;0;0;0;30;1;S;0.4;0.04;0
10;SFH;1984;0;149;BOI;1;0;0;1;30;1;M;0.4;0.04;0
11;SFH;1984;0;163;BOI;1;0;0;1;30;1;S;0.4;0.04;0
12;SFH;1984;0;163;BOI;1;0;0;1;30;1;M;0.4;0.04;0
13;SFH;1984;0;149;BOI;1;0;0;1;30;1;S;0.4;0.04;0
14;SFH;1984;0;147;BOI;1;0;0;1;30;1;S;0.4;0.04;0
15;SFH;1984;0;168;HP;0;0;0;0;30;1;M;0.4;0.04;0
16;SFH;1984;0;162;HP;0;0;0;0;30;1;S;0.4;0.04;0
17;SFH;1984;0;161;HP;0;0;0;0;30;1;M;0.4;0.04;0
18;SFH;1984;0;136;HP;0;0;0;0;30;1;S;0.4;0.04;0
19;SFH;1984;0;151;HP;0;0;0;0;30;1;M;0.4;0.04;0
20;SFH;1984;0;157;HP;1;0;0;0;30;1;S;0.4;0.04;0
21;SFH;1984;0;142;HP;1;0;0;0;30;1;S;0.4;0.04;0
22;SFH;1984;0;163;HP;1;0;0;0;30;1;M;0.4;0.04;0
23;SFH;1984;0;130;HP;1;0;0;0;30;1;S;0.4;0.04;0
24;SFH;1984;0;163;HP;1;0;0;0;30;1;M;0.4;0.04;0
25;SFH;1984;0;140;HP;1;0;0;1;30;1;S;0.4;0.04;0
26;SFH;1984;0;169;HP;1;0;0;1;30;1;M;0.4;0.04;0
27;SFH;1984;0;150;HP;1;0;0;1;30;1;S;0.4;0.04;0
28;SFH;1984;0;131;HP;1;0;0;1;30;1;S;0.4;0.04;0
29;SFH;1984;0;166;HP;1;0;0;1;30;1;M;0.4;0.04;0
30;MFH;1984;0;802;BOI;0;0;0;0;30;1;S;0.4;0.04;0
31;MFH;1984;0;779;BOI;0;0;0;0;30;1;M;0.4;0.04;0
32;MFH;1984;0;805;BOI;0;0;0;0;30;1;S;0.4;0.04;0
33;MFH;1984;0;770;BOI;0;0;0;0;30;1;M;0.4;0.04;0
34;MFH;1984;0;760;BOI;0;0;0;0;30;1;S;0.4;0.04;0
35;MFH;1984;0;760;CHP;0;0;0;0;30;1;S;0.4;0.04;0
36;MFH;1984;0;806;CHP;0;0;0;0;30;1;M;0.4;0.04;0
37;MFH;1984;0;760;CHP;0;0;0;0;30;1;S;0.4;0.04;0
38;MFH;1984;0;799;CHP;0;0;0;0;30;1;M;0.4;0.04;0
39;MFH;1984;0;807;CHP;0;0;0;0;30;1;S;0.4;0.04;0
40;MFH;1984;0;766;CHP;0;0;0;1;30;1;M;0.4;0.04;0
41;MFH;1984;0;805;CHP;0;0;0;1;30;1;S;0.4;0.04;0
42;MFH;1984;0;776;CHP;0;0;0;1;30;1;S;0.4;0.04;0
43;MFH;1984;0;778;CHP;0;0;0;1;30;1;M;0.4;0.04;0
44;MFH;1984;0;785;CHP;0;0;0;1;30;1;S;0.4;0.04;0
