id;building;position;year;retrofit;construction_type;night_setback;area;heater;cooling;EV;f_TES;f_BAT;f_PV1;f_PV2;f_STC;gamma_PV;ev_charging
0;SFH;(-48, 28);1940;0;2;0;201;None;0;0;35;0;0;0;0;0;on_demand
1;SFH;(-43, 30);1940;0;2;0;202;None;0;0;35;0;0;0;0;0;on_demand
2;SFH;(-32, 29);1940;0;2;0;218;None;0;0;35;0;0;0;0;0;on_demand
3;SFH;(-22, 28);1940;0;2;0;184;None;0;0;35;0;0;0;0;0;on_demand
4;SFH;(-8, 32);1940;0;2;0;254;None;0;0;35;0;0;0;0;0;on_demand
5;SFH;(27, 32);1940;0;2;0;152;None;0;0;35;0;0;0;0;0;on_demand
6;SFH;(40, 28);1940;0;2;0;188;None;0;0;35;0;0;0;0;0;on_demand
7;SFH;(47, 28);1940;0;2;0;280;None;0;0;35;0;0;0;0;0;on_demand
8;SFH;(58, 29);1940;0;2;0;175;None;0;0;35;0;0;0;0;0;on_demand
9;SFH;(-39, 2);1940;0;2;0;156;None;0;0;35;0;0;0;0;0;on_demand
10;SFH;(-33, 2);1940;0;2;0;186;None;0;0;35;0;0;0;0;0;on_demand
11;SFH;(-22, 2);1940;0;2;0;202;None;0;0;35;0;0;0;0;0;on_demand
12;SFH;(0, -1);1940;0;2;0;180;None;0;0;35;0;0;0;0;0;on_demand
13;SFH;(10, 2);1940;0;2;0;154;None;0;0;35;0;0;0;0;0;on_demand
14;SFH;(19, -2);1940;0;2;0;247;None;0;0;35;0;0;0;0;0;on_demand
15;SFH;(33, -1);1940;0;2;0;246;None;0;0;35;0;0;0;0;0;on_demand
16;SFH;(42, 1);1940;0;2;0;264;None;0;0;35;0;0;0;0;0;on_demand
17;SFH;(-61, -30);1940;0;2;0;167;None;0;0;35;0;0;0;0;0;on_demand
18;SFH;(-52, -31);1940;0;2;0;225;None;0;0;35;0;0;0;0;0;on_demand
19;SFH;(-37, -30);1940;0;2;0;173;None;0;0;35;0;0;0;0;0;on_demand
20;SFH;(-33, -32);1940;0;2;0;203;None;0;0;35;0;0;0;0;0;on_demand
21;SFH;(10, -32);1940;0;2;0;249;None;0;0;35;0;0;0;0;0;on_demand
22;SFH;(19, -30);1940;0;2;0;239;None;0;0;35;0;0;0;0;0;on_demand
23;SFH;(31, -30);1940;0;2;0;211;None;0;0;35;0;0;0;0;0;on_demand
24;SFH;(-7, -62);1940;0;2;0;149;None;0;0;35;0;0;0;0;0;on_demand
25;SFH;(2, -59);1940;0;2;0;278;None;0;0;35;0;0;0;0;0;on_demand
26;SFH;(11, -62);1940;0;2;0;248;None;0;0;35;0;0;0;0;0;on_demand
27;SFH;(20, -62);1940;0;2;0;251;None;0;0;35;0;0;0;0;0;on_demand
28;SFH;(31, -60);1940;0;2;0;144;None;0;0;35;0;0;0;0;0;on_demand
29;SFH;(43, -58);1940;0;2;0;156;None;0;0;35;0;0;0;0;0;on_demand
