id;position;building;year;retrofit;construction_type;night_setback;area;number_of_floors;heater;cooling;EV;f_TES;f_BAT;f_PV1;f_PV2;f_STC;gamma_PV;ev_charging
0;(65.99701930617685, 28.6644125236675);MFH;1903;0;2;0;2600;4.0;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
1;(52.99089960479278, 50.70868320397948);MFH;1905;1;2;0;1950;3.0;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
2;(39.98477990340872, 72.75295388429143);MFH;1911;1;2;0;2275;03. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
3;(26.978660202024656, 94.79722456460341);MFH;1910;0;2;0;2275;03. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
4;(13.972540500640614, 116.84149524491542);MFH;1945;0;2;0;2925;04. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
5;(0.9664207992565331, 138.88576592522736);MFH;1916;0;2;0;1625;02. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
6;(72.27815474904546, 91.80604504321711);MFH;1915;1;2;0;2275;03. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
7;(59.27203504766137, 113.85031572352908);MFH;1911;1;2;0;2925;04. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
8;(46.26591534627732, 135.8945864038411);MFH;1921;0;2;0;1950;3.0;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
9;(33.25979564489327, 157.93885708415303);RE;1914;2;2;0;2600;4.0;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
10;(85.92882322586016, 146.7230366238016);OB;1917;1;2;0;2275;03. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
11;(123.42392079382407, 18.747548783981962);MFH;1918;0;2;0;2275;03. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
12;(123.42392079382407, 44.34264635194588);MFH;1918;1;2;0;2275;03. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
13;(123.42392079382405, 69.93774391990982);MFH;1900;2;2;0;2600;4.0;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
14;(123.42392079382407, 95.53284148787374);GS;1926;1;2;0;1625;02. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
15;(123.42392079382407, 121.12793905583767);SC;1902;1;2;0;3575;05. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
16;(123.42392079382407, 146.7230366238016);MFH;1910;1;2;0;2600;4.0;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
17;(18.74754878398196, 18.74754878398196);MFH;1918;1;2;0;2275;03. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
18;(18.74754878398196, -18.74754878398196);MFH;1901;0;2;0;2600;4.0;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
19;(44.34264635194588, -18.74754878398196);MFH;1911;2;2;0;4225;06. Mai;heat_grid;0;0;35;0;0.4;0;0;0;on_demand
