TEK,TEK Heizung,TEK Warmwasser,TEK Lüftung,TEK eingebaute Beleuchtung,TEK Kälte,TEK Hilfsenergie für Kälte,TEK Be- und Entfeuchtung,TEK Sonstiges
Bürogebäude,49.0,8.1,4.7,12.9,2.9,2.2,0.0,2.8
Hochschule und Forschung (allgemein),66.5,6.7,13.3,11.0,3.4,2.2,3.8,1.2
Beherbergungsstätten (allgemein),52.1,86.0,9.1,9.1,3.3,2.7,0.0,7.0
Schulen,49.3,22.4,3.9,5.5,0.3,0.2,0.0,0.6
Ausstellungsgebäude,57.6,7.7,6.3,7.8,1.7,1.3,0.3,0.2
Sporthallen,68.6,22.0,4.6,14.3,0.2,0.2,0.0,0.1
Hotels / Pensionen,51.2,89.1,9.1,8.6,3.5,2.9,0.0,6.8
Gewerbliche und industrielle Gebäude – Mischung aus leichter u. schwerer Arbeit,36.0,24.2,3.8,13.0,2.1,1.2,0.0,24.9
Verkaufsstätten (allgemein),47.9,7.6,5.6,16.3,2.6,2.0,0.0,6.9
Verwaltungsgebäude (allgemein),48.5,6.9,3.2,10.7,2.6,3.1,0.1,2.8
Verkehrsgebäude,38.4,4.4,3.4,16.0,0.0,0.0,0.0,53.7
