wind_speed;power
0.0;0.00
2.4;0.00
2.5;1.14
3.0;4.37
3.5;10.64
4.0;18.87
4.5;29.77
5.0;40.39
5.5;52.85
6.0;69.36
6.5;88.02
7.0;112.19
7.5;134.67
8.0;165.38
8.5;197.08
9.0;236.89
9.5;279.46
10.0;328.00
10.5;362.93
11.0;396.64
11.5;435.27
12.0;465.15
12.5;483.63
13.0;495.95
14.0;500.00
25.0;500.00
25.1;0.00
1000.0;0.00
