Support_Year;Cluster;Timestep;Heat_Demand_kW;Heat_Demand_TES_kW
0;0;0;334.684;174.369
0;0;1;341.859;167.194
0;0;2;361.713;147.341
0;0;3;369.27;139.784
0;0;4;378.798;130.255
0;0;5;386.284;122.769
0;0;6;435.067;73.986
0;0;7;428.254;80.799
0;0;8;395.268;-395.268
0;0;9;379.69;-379.69
0;0;10;362.747;-339.102
0;0;11;335.813;-335.813
0;0;12;325.353;76.977
0;0;13;282.745;-0.598
0;0;14;278.998;-134.396
0;0;15;280.525;0.0
0;0;16;265.95;0.0
0;0;17;254.333;103.893
0;0;18;295.036;214.017
0;0;19;313.702;-313.702
0;0;20;317.357;191.696
0;0;21;315.883;193.17
0;0;22;304.19;204.863
0;0;23;319.981;189.072
0;0;24;349.589;-349.589
0;0;25;367.408;-15.778
0;0;26;379.029;130.025
0;0;27;387.819;121.235
0;0;28;400.261;108.792
0;0;29;416.624;92.429
0;0;30;472.581;36.472
0;0;31;469.234;39.819
0;0;32;430.271;-430.271
0;0;33;413.706;-413.706
0;0;34;391.357;-22.038
0;0;35;355.876;153.177
0;0;36;352.748;-151.646
0;0;37;317.136;191.918
0;0;38;297.791;211.262
0;0;39;280.83;228.223
0;0;40;253.868;-206.872
0;0;41;256.964;-256.964
0;0;42;298.401;210.653
0;0;43;301.638;207.415
0;0;44;312.87;196.183
0;0;45;332.301;176.752
0;0;46;310.301;198.752
0;0;47;334.569;174.484
0;0;48;237.49;271.563
0;0;49;256.883;-256.883
0;0;50;276.294;-276.294
0;0;51;291.144;-154.462
0;0;52;304.219;204.835
0;0;53;313.592;195.462
0;0;54;325.565;183.489
0;0;55;403.982;105.071
0;0;56;394.526;-394.526
0;0;57;337.349;-337.349
0;0;58;322.842;-202.202
0;0;59;281.767;227.286
0;0;60;265.79;-147.804
0;0;61;269.178;-269.178
0;0;62;279.188;-279.188
0;0;63;288.553;0.0
0;0;64;238.079;270.975
0;0;65;192.715;-176.164
0;0;66;198.951;-91.18
0;0;67;192.348;316.706
0;0;68;184.245;324.808
0;0;69;182.416;326.637
0;0;70;191.934;317.12
0;0;71;199.356;309.697
0;0;72;248.184;-103.197
0;0;73;269.106;-269.106
0;0;74;286.958;-286.958
0;0;75;297.168;211.885
0;0;76;310.274;198.779
0;0;77;324.186;184.868
0;0;78;338.18;170.874
0;0;79;425.634;83.419
0;0;80;438.314;70.739
0;0;81;380.448;-380.448
0;0;82;373.6;-373.6
0;0;83;358.894;-129.595
0;0;84;340.452;168.602
0;0;85;336.323;158.443
0;0;86;332.998;-124.698
0;0;87;355.434;111.494
0;0;88;359.27;-137.302
0;0;89;320.198;61.118
0;0;90;341.046;168.007
0;0;91;347.578;161.476
0;0;92;368.585;140.468
0;0;93;383.002;126.052
0;0;94;401.278;107.775
0;0;95;391.519;117.534
0;0;96;602.623;-93.57
0;0;97;607.504;-98.451
0;0;98;617.011;-107.958
0;0;99;617.266;-108.213
0;0;100;618.574;-109.521
0;0;101;617.158;-108.104
0;0;102;651.524;-142.471
0;0;103;639.927;-130.873
0;0;104;588.478;-18.294
0;0;105;577.128;-179.36
0;0;106;552.174;-225.649
0;0;107;515.595;60.422
0;0;108;508.307;-314.705
0;0;109;478.63;30.423
0;0;110;460.157;48.897
0;0;111;439.633;69.421
0;0;112;417.966;91.087
0;0;113;431.118;77.935
0;0;114;468.382;40.672
0;0;115;483.653;25.4
0;0;116;504.147;4.906
0;0;117;514.539;-5.486
0;0;118;489.446;19.607
0;0;119;506.795;2.259
0;0;120;529.215;-20.162
0;0;121;529.972;-20.919
0;0;122;534.859;-25.806
0;0;123;543.74;-34.687
0;0;124;551.731;-37.922
0;0;125;556.873;19.144
0;0;126;604.736;-28.719
0;0;127;588.103;-12.085
0;0;128;536.026;39.991
0;0;129;532.044;-22.991
0;0;130;510.953;-1.899
0;0;131;495.487;80.53
0;0;132;501.41;74.607
0;0;133;454.948;-148.037
0;0;134;445.235;-199.947
0;0;135;428.255;80.798
0;0;136;413.588;95.465
0;0;137;407.228;101.825
0;0;138;447.013;129.004
0;0;139;470.103;105.914
0;0;140;479.769;96.248
0;0;141;506.954;69.063
0;0;142;486.184;89.833
0;0;143;510.702;65.316
0;0;144;528.834;47.183
0;0;145;550.83;25.187
0;0;146;559.165;16.852
0;0;147;581.26;-5.243
0;0;148;596.242;-20.225
0;0;149;608.148;-32.13
0;0;150;665.006;-88.989
0;0;151;660.192;-84.175
0;0;152;627.468;-240.976
0;0;153;601.577;-25.56
0;0;154;558.276;17.741
0;0;155;527.482;48.535
0;0;156;519.673;56.344
0;0;157;481.9;94.117
0;0;158;482.294;-339.568
0;0;159;480.305;-73.002
0;0;160;492.683;82.041
0;0;161;490.084;-178.723
0;0;162;522.05;53.967
0;0;163;541.921;34.096
0;0;164;563.657;12.36
0;0;165;584.203;-8.186
0;0;166;573.421;211.521
0;0;167;578.624;303.502
0;1;0;7.581;-7.581
0;1;1;8.129;-8.129
0;1;2;7.979;-7.979
0;1;3;9.975;-9.975
0;1;4;8.108;-8.108
0;1;5;9.804;-9.804
0;1;6;28.934;-28.934
0;1;7;32.281;-32.281
