Support_Year;Cluster;Timestep;PV;HP;EB;from_grid;to_grid;from_main_grid;to_main_grid
0;0;0;0.0;0.0;0.0;147.77;0.0;147.77;0.0
0;0;1;0.0;342.181;0.0;494.283;0.0;494.283;0.0
0;0;2;0.0;83.779;0.0;231.417;0.0;231.417;0.0
0;0;3;0.0;263.467;0.0;412.002;0.0;412.002;0.0
0;0;4;0.0;271.291;0.0;420.26;0.0;420.26;0.0
0;0;5;0.0;277.992;0.0;425.258;0.0;425.258;0.0
0;0;6;0.0;296.762;0.0;449.948;0.0;449.948;0.0
0;0;7;0.0;249.75;0.0;705.361;0.0;705.361;0.0
0;0;8;295.463;226.589;0.0;400.302;0.0;400.302;0.0
0;0;9;969.11;347.55;0.0;0.0;270.998;0.0;270.998
0;0;10;1122.619;341.287;0.0;0.0;407.564;0.0;407.564
0;0;11;655.895;290.604;0.0;0.0;0.0;0.0;0.0
0;0;12;868.268;326.099;0.0;0.0;199.279;0.0;199.279
0;0;13;388.386;25.195;0.0;0.0;0.0;0.0;0.0
0;0;14;299.887;0.0;0.0;92.384;0.0;92.384;0.0
0;0;15;834.074;325.206;0.0;0.0;168.471;0.0;168.471
0;0;16;520.842;188.934;0.0;0.0;0.0;0.0;0.0
0;0;17;159.569;0.0;0.0;275.597;0.0;275.597;0.0
0;0;18;3.067;322.53;0.0;755.29;0.0;755.29;0.0
0;0;19;0.0;0.0;0.0;444.103;0.0;444.103;0.0
0;0;20;0.0;0.0;0.0;350.488;0.0;350.488;0.0
0;0;21;0.0;327.884;0.0;538.128;0.0;538.128;0.0
0;0;22;0.0;333.243;0.0;527.986;0.0;527.986;0.0
0;0;23;0.0;337.711;0.0;520.992;0.0;520.992;0.0
0;0;24;0.0;0.0;0.0;148.336;0.0;148.336;0.0
0;0;25;0.0;0.0;0.0;147.39;0.0;147.39;0.0
0;0;26;0.0;194.201;0.0;338.125;0.0;338.125;0.0
0;0;27;0.0;352.026;0.0;500.411;0.0;500.411;0.0
0;0;28;0.0;352.922;0.0;502.479;0.0;502.479;0.0
0;0;29;0.0;359.195;0.0;507.813;0.0;507.813;0.0
0;0;30;0.0;119.962;0.0;281.122;0.0;281.122;0.0
0;0;31;0.0;288.293;0.0;744.896;0.0;744.896;0.0
0;0;32;273.022;260.814;0.0;461.082;0.0;461.082;0.0
0;0;33;848.821;359.195;0.0;0.0;134.188;0.0;134.188
0;0;34;1261.378;353.818;0.0;0.0;536.957;0.0;536.957
0;0;35;1271.983;336.817;0.0;0.0;572.411;0.0;572.411
0;0;36;943.13;338.605;0.0;0.0;247.697;0.0;247.697
0;0;37;1845.866;327.884;0.0;0.0;1166.35;0.0;1166.35
0;0;38;2097.5;325.206;0.0;0.0;1398.255;0.0;1398.255
0;0;39;1682.154;318.962;0.0;0.0;1023.466;0.0;1023.466
0;0;40;860.389;318.962;0.0;0.0;201.079;0.0;201.079
0;0;41;290.166;0.0;0.0;92.346;0.0;92.346;0.0
0;0;42;6.139;321.637;0.0;747.273;0.0;747.273;0.0
0;0;43;0.0;304.004;0.0;762.963;0.0;762.963;0.0
0;0;44;0.0;0.0;0.0;339.252;0.0;339.252;0.0
0;0;45;0.0;0.0;0.0;217.236;0.0;217.236;0.0
0;0;46;0.0;0.0;0.0;199.022;0.0;199.022;0.0
